CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
301,a9bb8654-fbd6-433d-9d2c-5e37532cf104,VALID,Kurikka,Kurikka,Kurikka,,,2018-01-01,2018-12-31
304,d4e510e2-2700-481f-87d0-e7b4753a15a4,VALID,Kustavi,Gustavs,Kustavi,,,2018-01-01,2018-12-31
305,869f82a3-3a1e-458e-8320-b925f051400d,VALID,Kuusamo,Kuusamo,Kuusamo,,,2018-01-01,2018-12-31
309,ec9c2412-f331-431f-9e79-672133d43622,VALID,Outokumpu,Outokumpu,Outokumpu,,,2018-01-01,2018-12-31
312,8bdad3ef-af90-40cd-b347-841f136c1ef8,VALID,Kyyjärvi,Kyyjärvi,Kyyjärvi,,,2018-01-01,2018-12-31
316,51a7c21b-d5f9-4d1f-85b7-594d068982ea,VALID,Kärkölä,Kärkölä,Kärkölä,,,2018-01-01,2018-12-31
317,0c8dba8d-a376-4c94-a31e-7acb50e84559,VALID,Kärsämäki,Kärsämäki,Kärsämäki,,,2018-01-01,2018-12-31
318,99262802-cfce-4c86-9c62-52c02ed727ec,VALID,Kökar,Kökar,Kökar,,,2018-01-01,2018-12-31
320,c4b2ccd2-c192-4da2-b142-47045f91a1bf,VALID,Kemijärvi,Kemijärvi,Kemijärvi,,,2018-01-01,2018-12-31
322,ce747d49-9cb4-4e05-936b-d2ad5b6c5136,VALID,Kemiönsaari,Kimitoön,Kimitoön,,,2018-01-01,2018-12-31
398,0dec4506-5eeb-42be-9cc5-66b4fcec8c0a,VALID,Lahti,Lahtis,Lahti,,,2018-01-01,2018-12-31
399,2226a063-aa1f-492a-bb10-18402d9b6f46,VALID,Laihia,Laihela,Laihia,,,2018-01-01,2018-12-31
400,6485977c-77b0-428b-94a2-a8675739421a,VALID,Laitila,Laitila,Laitila,,,2018-01-01,2018-12-31
402,8a555f37-6244-4ce4-bf10-7e3032e42bc2,VALID,Lapinlahti,Lapinlahti,Lapinlahti,,,2018-01-01,2018-12-31
403,a3fa006e-e426-4d2f-907d-5622790b517d,VALID,Lappajärvi,Lappajärvi,Lappajärvi,,,2018-01-01,2018-12-31
