CODEVALUE,ID,STATUS,HIERARCHYLEVEL,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
ts,,INVALID,,Tsonga,tsonga,,,,,,,,,,
tsd,,INVALID,,Tsakonian,tsakonia,,,,,,,,,,
tsi,,INVALID,,Tsimshian,tsimši,,,,,,,,,,
tt,,INVALID,,Tatar,tataari,,,,,,,,,,
ttt,,INVALID,,Muslim Tat,tati,,,,,,,,,,
tum,,INVALID,,Tumbuka,tumbuka,,,,,,,,,,
tw,,INVALID,,Twi,twi,,,,,,,,,,
tvl,,INVALID,,Tuvalu,tuvalu,,,,,,,,,,
twq,,INVALID,,Tasawaq,tasawaq,,,,,,,,,,
ty,,INVALID,,Tahitian,tahiti,,,,,,,,,,
tyv,,INVALID,,Tuvinian,tuva,,,,,,,,,,
tzm,,INVALID,,Central Atlas Tamazight,keskiatlaksentamazight,,,,,,,,,,
udm,,INVALID,,Udmurt,udmurtti,,,,,,,,,,
ug,,INVALID,,Uyghur,uiguuri,,,,,,,,,,
uga,,INVALID,,Ugaritic,ugarit,,,,,,,,,,
uk,,INVALID,,Ukrainian,ukraina,,,,,,,,,,
umb,,INVALID,,Umbundu,mbundu,,,,,,,,,,
ur,,INVALID,,Urdu,urdu,,,,,,,,,,
uz,,INVALID,,Uzbek,uzbekki,,,,,,,,,,
wa,,INVALID,,Walloon,valloni,,,,,,,,,,
wae,,INVALID,,Walser,walser,,,,,,,,,,
vai,,INVALID,,Vai,vai,,,,,,,,,,
wal,,INVALID,,Wolaytta,wolaitta,,,,,,,,,,
war,,INVALID,,Waray,waray,,,,,,,,,,
was,,INVALID,,Washo,washo,,,,,,,,,,
wbp,,INVALID,,Warlpiri,warlpiri,,,,,,,,,,
ve,,INVALID,,Venda,venda,,,,,,,,,,
vec,,INVALID,,Venetian,venetsia,,,,,,,,,,
vep,,INVALID,,Veps,vepsä,,,,,,,,,,
vi,,INVALID,,Vietnamese,vietnam,,,,,,,,,,
vls,,INVALID,,West Flemish,länsiflaami,,,,,,,,,,
vmf,,INVALID,,Main-Franconian,maininfrankki,,,,,,,,,,
vo,,INVALID,,Volapük,volapük,,,,,,,,,,
wo,,INVALID,,Wolof,wolof,,,,,,,,,,
vot,,INVALID,,Votic,vatja,,,,,,,,,,
vro,,INVALID,,Võro,võro,,,,,,,,,,
vun,,INVALID,,Vunjo,vunjo,,,,,,,,,,
wuu,,INVALID,,Wu Chinese,wu-kiina,,,,,,,,,,
xal,,INVALID,,Kalmyk,kalmukki,,,,,,,,,,
xh,,INVALID,,Xhosa,xhosa,,,,,,,,,,
