CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,SHORTNAME,HIERARCHYLEVEL,STARTDATE,ENDDATE
1010,ea96e31f-27fe-407f-a35e-ffd2bb2d2c51,VALID,"Henkilökohtaiset palvelut, yleiset koulutusohjelmat","Personliga tjänster, allmänna utbildningsprogram",Broad programmes and qualifications involving personal services,,,2016-01-01,
1011,f2ff7a4a-e2de-4c25-9842-4a72d14d699f,VALID,Kotitalouspalvelut,Tjänster inom huslig ekonomi,Domestic services,,,2016-01-01,
1012,3544fd75-b4c1-4641-a97b-a42b8fe33819,VALID,Hiusten ja kauneudenhoitopalvelut,Tjänster inom hår- och skönhetsbranschen,Hair and beauty services,,,2016-01-01,
1013,a3918fe6-fc2d-48d9-9174-2953f0d4944b,VALID,Hotelli- ja ravintola-ala,Hotell- och restaurangområdet,"Hotel, restaurants and catering",,,2016-01-01,
1014,4d8a2617-836a-467f-8ad0-f76691db88fa,VALID,Urheilu ja liikunta,Idrott och motion,Sports,,,2016-01-01,
1015,cdab4bc4-1a59-41bc-a815-198a962f6461,VALID,"Matkailu, turismi ja vapaa-aika",Turism och fritid,"Travel, tourism and leisure",,,2016-01-01,
1018,b835c21d-cea1-4f26-900a-a4d92212bb7a,VALID,"Palvelualat, monialaiset koulutusohjelmat","Tjänstebranschen, branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving personal services,,,2016-01-01,
103,f2fc467f-0094-41ec-9091-a56aeeb2f663,VALID,Turvallisuuspalvelut,Säkerhetstjänster,Security services,,,2016-01-01,
1030,6350bc16-ade5-4071-8d25-85d18e809ad3,VALID,"Turvallisuuspalvelut, yleiset koulutusohjelmat","Säkerhetstjänster, allmänna utbildningsprogram",Broad programmes and qualifications involving security services,,,2016-01-01,
1031,588188fe-c237-4eca-a0b1-d6418f2192f2,VALID,Sotilas- ja puolustusala,Militär- och försvarsområdet,Military and defence,,,2016-01-01,
1032,770215c7-7542-43a6-a57c-ac730bac89c9,VALID,Suojeluala,Säkerhetsbranschen,Protection of persons and property,,,2016-01-01,
104,5585a119-a7e5-4be9-a882-6f48756e9eda,VALID,Kuljetuspalvelut,Transporttjänster,Transport services,,,2016-01-01,
1041,9d99161f-8229-4153-bd92-5d259902b9fb,VALID,Kuljetuspalvelut,Transporttjänster,Transport services,,,2016-01-01,
1048,130c86dc-3617-44e8-89ca-d972e95339b4,VALID,"Kuljetuspalvelut, monialaiset koulutusohjelmat","Transporttjänster, branschövergripande utbildningsprogram",Inter-disciplinary programmes and qualifications involving transport services,,,2016-01-01,
99,22b24ca3-adba-4dff-b65a-eee010e5b0c1,VALID,Muut tai tuntemattomat koulutusalat,Övriga eller okända,Unknown,,,2016-01-01,
999,d3915089-d4fb-446d-bb9a-7964636d4351,VALID,Muut tai tuntemattomat koulutusalat,Övriga eller okända,Unknown,,,2016-01-01,
9999,2a6ab97f-d633-4ae3-a8bd-5112fc65b909,VALID,Muut tai tuntemattomat koulutusalat,Övriga eller okända,Unknown,,,2016-01-01,
