CODEVALUE,ID,STATUS,PREFLABEL_FI,PREFLABEL_SV,PREFLABEL_EN,DEFINITION_FI,DEFINITION_SV,DEFINITION_EN,DESCRIPTION_FI,DESCRIPTION_SV,DESCRIPTION_EN,SHORTNAME,STARTDATE,ENDDATE
sel,,VALID,Selkup,selkuppi,,,,,,,,,,
ses,,VALID,Koyraboro Senni,koyraboro senni,,,,,,,,,,
sg,,VALID,Sango,sango,,,,,,,,,,
sga,,VALID,Old Irish,muinaisiiri,,,,,,,,,,
sgs,,VALID,Samogitian,samogiitti,,,,,,,,,,
sh,,VALID,Serbo-Croatian,serbokroaatti,,,,,,,,,,
shi,,VALID,Tachelhit,tašelhit,,,,,,,,,,
shn,,VALID,Shan,shan,,,,,,,,,,
shu,,VALID,Chadian Arabic,tšadinarabia,,,,,,,,,,
si,,VALID,Sinhala,sinhala,,,,,,,,,,
sid,,VALID,Sidamo,sidamo,,,,,,,,,,
sk,,VALID,Slovak,slovakki,,,,,,,,,,
sl,,VALID,Slovenian,sloveeni,,,,,,,,,,
sli,,VALID,Lower Silesian,sleesiansaksa,,,,,,,,,,
sly,,VALID,Selayar,selayar,,,,,,,,,,
sm,,VALID,Samoan,samoa,,,,,,,,,,
sma,,VALID,Southern Sami,eteläsaame,,,,,,,,,,
smj,,VALID,Lule Sami,luulajansaame,,,,,,,,,,
smn,,VALID,Inari Sami,inarinsaame,,,,,,,,,,
sms,,VALID,Skolt Sami,koltansaame,,,,,,,,,,
sn,,VALID,Shona,šona,,,,,,,,,,
snk,,VALID,Soninke,soninke,,,,,,,,,,
so,,VALID,Somali,somali,,,,,,,,,,
sog,,VALID,Sogdien,sogdi,,,,,,,,,,
sq,,VALID,Albanian,albania,,,,,,,,,,
sr,,VALID,Serbian,serbia,,,,,,,,,,
srn,,VALID,Sranan Tongo,sranan,,,,,,,,,,
srr,,VALID,Serer,serer,,,,,,,,,,
ss,,VALID,Swati,swazi,,,,,,,,,,
ssy,,VALID,Saho,saho,,,,,,,,,,
st,,VALID,Southern Sotho,eteläsotho,,,,,,,,,,
stq,,VALID,Saterland Frisian,saterlandinfriisi,,,,,,,,,,
su,,VALID,Sundanese,sunda,,,,,,,,,,
suk,,VALID,Sukuma,sukuma,,,,,,,,,,
sus,,VALID,Susu,susu,,,,,,,,,,
sux,,VALID,Sumerian,sumeri,,,,,,,,,,
